createTime|dependencyTime|fromId|toId
1670998447233|1610060544218|2199023257165|8796093023571
1671000224546|1667770216402|8796093022737|28587302322196
1671029772057|1670308469682|30786325578724|6597069767873
1671044732744|1665747959038|28587302323090|8796093022752
1671050265084|1651047501576|6597069767294|24189255812627
1671052023541|1607570929859|6597069768317|8796093023332
1671052516798|1669045227841|13194139533556|28587302322408
1671079701173|1669110851059|15393162789511|28587302323274
1671096978407|1670474217024|28587302323068|30786325578634
1671098124867|1658153349321|17592186046354|26388279067181
1671137832053|1669295007606|24189255812398|28587302323339
1671158604081|1655812660409|24189255812452|8796093023514
1671160499800|1659049126017|13194139533553|26388279067630
1671190360162|1655609509672|24189255812382|24189255812629
1671191798560|1670497517064|30786325579533|15393162790363
1671213482789|1670025852006|4398046511113|30786325578447
1671221506195|1670723750398|17592186045924|30786325578096
1671249453334|1653595223476|24189255812517|24189255812371
1671283838984|1654072739555|24189255811812|4398046512985
1671288137261|1670393628224|28587302322854|30786325578005
1671316386458|1657615095574|26388279068142|10995116278182
1671321436429|1653961625629|2199023256912|24189255811083
1671329357712|1658444600248|10995116279024|26388279068334
1671331606716|1668059083657|28587302323406|6597069767942
1671337390031|1671124506283|30786325578328|26388279068517
1671344055960|1670128533107|19791209301658|30786325579432
1671370307388|1660653350858|26388279068219|17592186045087
1671377970723|1662732943551|26388279067960|26388279066955
1671418192001|1660889879931|21990232556250|26388279067959
1671449938889|1654869068910|13194139533556|24189255811170
1671475147867|1664522969375|28587302322247|15393162790272
1671491593620|1667933450321|24189255812169|28587302323544
1671500174655|1644373722131|2199023256343|21990232557249
1671503657447|1624482075540|15393162790326|6597069766877
1671514765863|1669078596578|28587302322489|28587302323569
1671520384234|1668032890184|28587302323110|19791209300955
1671522966071|1648246973512|19791209300522|21990232555841
1671535558591|1665106663346|28587302323993|10995116278272
1671559234074|1670594167342|21990232556587|30786325578303
1671563525190|1670497517064|30786325579533|28587302323692
1671570063756|1665113719709|19791209301564|28587302323324
1671593711465|1665719967142|28587302322459|28587302323867
1671625480105|1671239752247|13194139534080|30786325579200
1671646199372|1670553897733|30786325579639|17592186045320
1671663109140|1667920375154|4398046512159|28587302324059
1671667281412|1671596856720|28587302322203|30786325578380
1671671205953|1669078596578|24189255812466|28587302322489
1671679050307|1653732391020|2199023256628|24189255811961
1671679126623|1668478078109|26388279067868|28587302322863
1671681400317|1626904474319|15393162790766|4398046512584
1671697009680|1670594167342|19791209300478|30786325578303
1671701854465|1669614876309|19791209300552|30786325578421
1671720311839|1671239752247|10995116279608|30786325579200
1671726128595|1667770216402|28587302322196|13194139534553
1671744902746|1671626728489|30786325578738|8796093023418
1671745473301|1658444600248|17592186044622|26388279068334
1671746622870|1613210701009|6597069767764|10995116278645
1671779358616|1668811948693|28587302322521|13194139534414
1671783579513|1601347743125|6597069767000|2199023257272
1671788869062|1669723269798|30786325578686|13194139535084
1671840184665|1671596856720|30786325578380|28587302323362
1671848940743|1666075064631|17592186045383|28587302323421
1671849789531|1660447290279|6597069767760|26388279068161
1671854488415|1653853610046|10995116278271|24189255812867
1671859792308|1655760896801|2199023255808|24189255812611
1671873592489|1659401943151|13194139534177|26388279068243
1671879970725|1671596856720|13194139533845|30786325578380
1671882319889|1670025852006|19791209301068|30786325578447
1671883834834|1666015485254|28587302322571|4398046512890
1671887018474|1667451096392|13194139534599|28587302322819
1671900976608|1667920375154|13194139535031|28587302324059
1671902738047|1626479063414|15393162790752|2199023255844
1671916415755|1665908865508|28587302324052|6597069767198
1671917815952|1671840548198|30786325579229|6597069768535
1671945971876|1650064992102|24189255811723|21990232556135
1671949165704|1671626728489|30786325578738|10995116279229
1672064474127|1666723213106|24189255811414|28587302323569
1672074898053|1654163025580|24189255811824|2199023257351
1672082562502|1671461141325|6597069768358|30786325579104
1672093182772|1670474217024|17592186045152|30786325578634
1672094704069|1668660656100|8796093022820|28587302323074
1672095619749|1648451266294|19791209301503|21990232555831
1672108505782|1637503985904|985|19791209301590
1672123254525|1670041318423|30786325579478|15393162790553
1672136867212|1661904928974|26388279067335|2199023256813
1672138221626|1671943598262|30786325579098|19791209301564
1672164594562|1671943598262|30786325579098|28587302323659
1672203747267|1668255255575|28587302322411|10995116277915
1672215407384|1653469657997|24189255811414|17592186044664
1672221570721|1671485528330|17592186044959|30786325578007
1672225230601|1670799298929|8796093023250|30786325578436
1672317728776|1618111793522|13194139533398|10995116278498
1672330946636|1671586432079|2199023255765|30786325578305
1672337182049|1654931260539|24189255813046|15393162789767
1672341582914|1664638662399|28587302323493|2199023256773
1672354189039|1616094218291|10995116279238|1839
1672387873679|1650296131597|24189255811260|19791209301239
1672388032238|1663444430750|28587302324125|26388279067777
1672391996139|1669940400664|15393162789976|30786325578501
1672409698941|1636543354443|8796093022225|17592186044500
1672412041770|1672186808656|30786325579254|6597069767506
1672434923707|1670970830150|26388279067462|30786325578903
1672454256437|1671771279793|2199023255803|30786325577806
1672473462849|1672186808656|4398046511722|30786325579254
1672481185012|1652886786019|24189255811907|8796093023409
1672495515643|1660889879931|24189255811588|26388279067959
1672500163455|1662527511528|26388279068255|13194139534817
1672506588742|1664188934226|10995116278450|28587302322275
